geoid,county_name,state_park_count
05000US48007,Aransas,1
05000US48015,Austin,1
05000US48019,Bandera,3
05000US48021,Bastrop,2
05000US48029,Bexar,1
05000US48031,Blanco,2
05000US48035,Bosque,1
05000US48043,Brewster,2
05000US48045,Briscoe,1
05000US48049,Brown,1
05000US48051,Burleson,1
05000US48053,Burnet,4
05000US48055,Caldwell,1
05000US48057,Calhoun,1
05000US48061,Cameron,1
05000US48063,Camp,1
05000US48067,Cass,1
05000US48077,Clay,1
05000US48091,Comal,2
05000US48097,Cooke,1
05000US48099,Coryell,1
05000US48113,Dallas,1
05000US48103,Davis,1
05000US48121,Denton,1
05000US48137,Edwards,2
05000US48141,El Paso,2
05000US48147,Fannin,1
05000US48157,Fort Bend,1
05000US48159,Franklin,1
05000US48167,Galveston,1
05000US48171,Gillespie,1
05000US48175,Goliad,1
05000US48177,Gonzales,1
05000US48181,Grayson,2
05000US48197,Hardeman,1
05000US48199,Hardin,1
05000US48201,Harris,1
05000US48203,Harrison,1
05000US48213,Henderson,1
05000US48215,Hidalgo,2
05000US48217,Hill,1
05000US48225,Houston,1
05000US48227,Howard,1
05000US48231,Hunt,1
05000US48237,Jack,1
05000US48241,Jasper,1
05000US48245,Jefferson,1
05000US48251,Johnson,1
05000US48259,Kendall,3
05000US48267,Kimble,1
05000US48271,Kinney,1
05000US48281,Lampasas,2
05000US48287,Lee,1
05000US48289,Leon,1
05000US48293,Limestone,1
05000US48297,Live Oak,1
05000US48299,Llano,1
05000US48311,McMullen,1
05000US48325,Medina,1
05000US48335,Mitchell,1
05000US48343,Morris,1
05000US48355,Nueces,1
05000US48363,Palo Pinto,2
05000US48367,Parker,1
05000US48373,Polk,1
05000US48377,Presidio,3
05000US48385,Real,1
05000US48389,Reeves,1
05000US48401,Rusk,1
05000US48409,San Patricio,1
05000US48411,San Saba,1
05000US48423,Smith,1
05000US48425,Somervell,1
05000US48427,Starr,1
05000US48429,Stephens,1
05000US48441,Taylor,1
05000US48449,Titus,1
05000US48451,Tom Green,1
05000US48453,Travis,1
05000US48457,Tyler,1
05000US48463,Uvalde,2
05000US48465,Val Verde,2
05000US48467,Van Zandt,1
05000US48471,Walker,1
05000US48475,Ward,1
05000US48479,Webb,1
05000US48495,Winkler,1
